Orden|Apellido|Total
1013|RIUS|5046
1014|DEL AMO|5044
1015|GALLO|5041
1016|SALAMANCA|5039
1017|DAZA|5034
1018|ARRIETA|5030
1019|COELLO|5024
1020|DENIZ|5023
1021|CERRO|5022
1022|ROPERO|5020
1023|SIMO|5020
1024|CANDELA|5019
1025|ASENJO|5016
1026|LLORCA|5011
1027|MAESTRO|4995
1028|ALBALADEJO|4994
1029|ARAGONES|4982
1030|BRIONES|4976
1031|BENAVENT|4972
1032|MATIAS|4970
1033|PAGES|4966
1034|PALOMAR|4962
1035|BAYON|4955
1036|CASANOVAS|4929
1037|CORBACHO|4924
1038|TORRADO|4917
1039|ESPARZA|4912
1040|MARTINS|4910
1041|GARMENDIA|4896
1042|QUINTANILLA|4885
1043|FERRANDEZ|4884
1044|PUGA|4877
1045|ESCALANTE|4876
1046|ESPINAR|4874
1047|MARTEL|4859
1048|HIERRO|4858
1049|MONJE|4858
1050|VILANOVA|4857
1051|DE LA VEGA|4855
1052|CAPILLA|4853
1053|VADILLO|4851
1054|BARRIGA|4849
1055|TORMO|4843
1056|PINTADO|4841
1057|CABO|4837
1058|GARAY|4831
1059|IRIARTE|4829
1060|MADRIGAL|4827
1061|BOU|4823
1062|SALIDO|4820
1063|SABATE|4820
1064|MONTALBAN|4819
1065|ZUÑIGA|4819
1066|AYLLON|4802
1067|ANGUITA|4791
1068|DONOSO|4790
1069|VILLALOBOS|4790
1070|RAMA|4779
1071|DE LA CALLE|4778
1072|TORRENT|4775
1073|BARRETO|4775
1074|LARRAÑAGA|4773
1075|POZA|4769
1076|BLAS|4767
1077|MILAN|4763
1078|GUARDIA|4762
1079|DE ANDRES|4750
1080|MANCEBO|4749
1081|TRIVIÑO|4736
1082|MOLLA|4735
1083|DE PABLO|4734
1084|MONREAL|4723
1085|MIQUEL|4717
1086|PITA|4711
1087|PORCEL|4708
1088|VAL|4701
1089|BUSTO|4693
1090|DONAIRE|4690
1091|PORTERO|4684
1092|CARPINTERO|4684
1093|AMIGO|4683
1094|DALMAU|4679
1095|BUITRAGO|4676
1096|CASTILLEJO|4664
1097|MEDIAVILLA|4661
1098|CADENAS|4661
1099|NDIAYE|4661
1100|IVANOV|4660
1101|ZORRILLA|4656
1102|SANABRIA|4653
1103|VALENTIN|4651
1104|GREGORIO|4650
1105|PAYA|4639
1106|PORTA|4633
1107|PIÑOL|4630
1108|ANTEQUERA|4630
1109|GIRALDEZ|4625
1110|PICON|4621
1111|GABARRE|4621
1112|SMITH|4617
1113|BLANCH|4602
1114|CASCALES|4601
1115|RABADAN|4586
1116|MENESES|4585
1117|CORTIJO|4577
1118|ALBERDI|4576
1119|GARROTE|4572
1120|CAÑADA|4571
1121|COMPANY|4571
1122|CUERVO|4570
1123|BARAHONA|4566
1124|ALBARRAN|4566
1125|RODA|4556
1126|FERNANDES|4556
